Data;Hora;Temperatura(C°);Umidade(%)
21/12/2022;20:15:40;23,6;81
21/12/2022;20:16:10;23,6;80
21/12/2022;20:16:40;23,6;80
21/12/2022;20:17:10;23,6;80
21/12/2022;20:17:40;23,5;80
21/12/2022;20:18:10;23,5;80
21/12/2022;20:18:40;23,5;80
21/12/2022;20:19:10;23,4;80
21/12/2022;20:19:40;23,4;80
21/12/2022;20:20:10;23,4;80
21/12/2022;20:20:40;23,4;81
21/12/2022;20:21:11;23,4;81
21/12/2022;20:21:41;23,3;81
21/12/2022;20:22:11;23,3;81
21/12/2022;20:22:41;23,3;81
21/12/2022;20:23:11;23,3;81
21/12/2022;20:23:41;23,3;81
21/12/2022;20:24:11;23,3;81
21/12/2022;20:24:41;23,3;81
21/12/2022;20:25:11;23,3;81
21/12/2022;20:25:41;23,3;81
21/12/2022;20:26:11;23,3;81
21/12/2022;20:26:41;23,3;81
21/12/2022;20:27:11;23,3;81
21/12/2022;20:27:42;23,3;81
21/12/2022;20:28:12;23,3;81
21/12/2022;20:28:42;23,3;81
21/12/2022;20:29:12;23,3;81
21/12/2022;20:29:42;23,3;81
21/12/2022;20:30:12;23,3;81
21/12/2022;20:30:42;23,3;81
21/12/2022;20:31:12;23,3;81
21/12/2022;20:31:42;23,3;81
21/12/2022;20:32:12;23,3;81
21/12/2022;20:32:42;23,3;81
21/12/2022;20:33:12;23,3;81
21/12/2022;20:33:42;23,3;81
21/12/2022;20:34:13;23,3;81
21/12/2022;20:34:43;23,3;81
21/12/2022;20:35:13;23,3;81
21/12/2022;20:35:43;23,3;81
21/12/2022;20:36:13;23,3;81
21/12/2022;20:36:43;23,3;81
21/12/2022;20:37:13;23,3;81
21/12/2022;20:37:43;23,3;81
21/12/2022;20:38:13;23,3;81
21/12/2022;20:38:43;23,3;81
21/12/2022;20:39:13;23,3;81
21/12/2022;20:39:43;23,3;81
21/12/2022;20:40:13;23,4;81
21/12/2022;20:40:44;23,4;81
21/12/2022;20:41:14;23,4;81
21/12/2022;20:41:44;23,4;81
21/12/2022;20:42:14;23,4;81
21/12/2022;20:42:44;23,4;81
21/12/2022;20:43:14;23,4;81
21/12/2022;20:43:44;23,4;81
21/12/2022;20:44:14;23,4;81
21/12/2022;20:44:44;23,4;81
21/12/2022;20:45:14;23,4;81
21/12/2022;20:45:44;23,4;81
