Data;Hora;Temperatura;Umidade
07/01/2023;19:40:14;25.3;76
07/01/2023;19:40:46;25.3;76
07/01/2023;19:41:16;25.5;75
07/01/2023;19:41:46;25.7;75
07/01/2023;19:42:16;25.9;74
07/01/2023;19:42:46;26;74
07/01/2023;19:43:16;26;74
07/01/2023;19:43:46;25.9;74
07/01/2023;19:44:16;25.9;74
07/01/2023;19:44:46;25.8;74
07/01/2023;19:45:16;25.8;74
07/01/2023;19:45:46;25.8;74
07/01/2023;19:46:16;25.8;74
07/01/2023;19:46:46;25.9;74
07/01/2023;19:47:17;27.5;70
07/01/2023;19:47:47;30;64
07/01/2023;19:48:17;32.3;58
07/01/2023;19:48:47;34.1;52
07/01/2023;19:49:17;34.3;51
07/01/2023;19:49:47;34.3;51
07/01/2023;19:50:17;33.4;51
07/01/2023;19:50:47;32.6;53
07/01/2023;19:51:17;32;54
07/01/2023;19:51:47;31.5;56
07/01/2023;19:52:17;31;57
07/01/2023;19:52:47;30.7;58
07/01/2023;19:53:17;30.4;59
07/01/2023;19:53:48;30.4;59
07/01/2023;19:54:18;30.7;59
07/01/2023;19:54:48;32.2;56
07/01/2023;19:55:18;34.2;51
07/01/2023;19:55:48;36.8;45
07/01/2023;19:56:18;39.2;40
07/01/2023;19:56:48;40.2;37
07/01/2023;19:57:18;40.5;36
07/01/2023;19:57:48;40.5;36
07/01/2023;19:58:18;40;37
07/01/2023;19:58:48;38.9;39
07/01/2023;19:59:18;38;41
07/01/2023;19:59:49;37.3;43
07/01/2023;20:00:19;36.6;44
07/01/2023;20:00:49;36.1;46
07/01/2023;20:01:19;35.6;47
07/01/2023;20:01:49;35.2;48
07/01/2023;20:02:19;35.2;48
07/01/2023;20:02:49;36.1;45
07/01/2023;20:03:19;38.6;39
07/01/2023;20:03:49;41.5;33
07/01/2023;20:04:19;44.2;27
07/01/2023;20:04:49;45.1;24
07/01/2023;20:05:19;45.1;24
07/01/2023;20:05:50;44.3;26
07/01/2023;20:06:20;42.9;28
07/01/2023;20:06:50;41.7;31
07/01/2023;20:07:20;40.7;33
07/01/2023;20:07:50;39.8;35
07/01/2023;20:08:20;39.1;37
07/01/2023;20:08:50;38.4;39
07/01/2023;20:09:20;37.9;40
07/01/2023;20:09:50;37.3;42
07/01/2023;20:10:20;36.8;43
