Data;Hora;Temperatura;Umidade
07/01/2023;18:44:49;25;76
07/01/2023;18:45:20;25;76
07/01/2023;18:45:50;25;76
07/01/2023;18:46:20;25;77
07/01/2023;18:46:50;25;77
07/01/2023;18:47:20;25;77
07/01/2023;18:47:51;25;77
07/01/2023;18:48:21;25;76
07/01/2023;18:48:51;25.1;76
07/01/2023;18:49:21;25.1;76
07/01/2023;18:49:51;25.1;76
07/01/2023;18:50:21;25.1;76
07/01/2023;18:50:51;25.1;76
07/01/2023;18:51:21;25.1;76
07/01/2023;18:51:51;25.1;76
07/01/2023;18:52:21;25.1;76
07/01/2023;18:52:51;25.1;76
07/01/2023;18:53:21;25.1;75
07/01/2023;18:53:52;25.2;75
07/01/2023;18:54:22;25.2;75
07/01/2023;18:54:52;25.2;75
07/01/2023;18:55:22;25.2;75
07/01/2023;18:55:52;25.2;75
07/01/2023;18:56:22;25.2;75
07/01/2023;18:56:52;25.2;75
07/01/2023;18:57:22;25.2;75
07/01/2023;18:57:52;25.2;75
07/01/2023;18:58:22;25.2;75
07/01/2023;18:58:52;25.2;75
07/01/2023;18:59:22;25.3;75
07/01/2023;18:59:52;25.3;75
07/01/2023;19:00:23;25.3;75
07/01/2023;19:00:53;25.3;75
07/01/2023;19:01:23;25.3;75
07/01/2023;19:01:53;25.3;75
07/01/2023;19:02:23;25.3;75
07/01/2023;19:02:53;25.3;75
07/01/2023;19:03:23;25.3;75
07/01/2023;19:03:53;25.3;75
07/01/2023;19:04:23;25.3;75
07/01/2023;19:04:53;25.3;75
07/01/2023;19:05:23;25.3;75
07/01/2023;19:05:53;25.3;75
07/01/2023;19:06:24;25.3;75
07/01/2023;19:06:54;25.3;75
07/01/2023;19:07:24;25.4;75
07/01/2023;19:07:54;25.4;75
07/01/2023;19:08:24;25.4;75
07/01/2023;19:08:54;25.4;75
07/01/2023;19:09:24;25.4;75
07/01/2023;19:09:54;25.4;75
07/01/2023;19:10:24;25.4;75
07/01/2023;19:10:54;25.4;75
07/01/2023;19:11:24;25.4;75
07/01/2023;19:11:54;25.4;75
07/01/2023;19:12:24;25.4;75
07/01/2023;19:12:55;25.4;75
07/01/2023;19:13:25;25.4;75
07/01/2023;19:13:55;25.4;75
07/01/2023;19:14:25;25.5;75
07/01/2023;19:14:55;25.5;75
